entity,id,active,dateCreated,lastCheck,lastChecked,routes,rt,vid
bus,status_7704,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:33.738Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""605"" }]",605,7704
bus,status_7708,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:33.738Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""605"" }]",605,7708
bus,status_7711,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.878Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""463"" }]",463,7711
bus,status_7714,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.899Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""652"" }]",652,7714
bus,status_7715,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:33.799Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""630"" }]",630,7715
bus,status_7717,TRUE,2020-04-03T18:59:48.065Z,2020-04-03T18:59:45.486Z,2020-04-03T18:59:48.065Z,"[  { ""S"" : ""395"" }]",395,7717
bus,status_7719,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.038Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""306"" }]",306,7719
bus,status_7722,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.100Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""310"" }]",310,7722
bus,status_7723,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:33.738Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""605"" }]",605,7723
bus,status_7728,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.879Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""494"" }]",494,7728
bus,status_7729,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.100Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""310"" }]",310,7729
bus,status_7731,TRUE,2020-04-03T21:47:02.984Z,2020-04-03T21:47:02.748Z,2020-04-03T21:47:02.984Z,"[  { ""S"" : ""644"" }]",644,7731
bus,status_7734,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:34.580Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""650"" }]",650,7734
bus,status_7735,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.878Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""463"" }]",463,7735
bus,status_7736,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:33.680Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""621"" }]",621,7736
bus,status_7737,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.100Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""310"" }]",310,7737
bus,status_7739,TRUE,2020-04-03T19:16:30.568Z,2020-04-03T19:16:28.209Z,2020-04-03T19:16:30.568Z,"[  { ""S"" : ""373"" }]",373,7739
bus,status_7746,TRUE,2020-04-03T18:47:07.415Z,2020-04-03T18:47:04.116Z,2020-04-03T18:47:07.415Z,"[  { ""S"" : ""159"" }]",159,7746
bus,status_7748,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.100Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""310"" }]",310,7748
bus,status_7749,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.577Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""401"" }]",401,7749
bus,status_7750,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.038Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""306"" }]",306,7750
bus,status_7755,TRUE,2020-04-03T18:47:07.416Z,2020-04-03T18:47:04.337Z,2020-04-03T18:47:07.416Z,"[  { ""S"" : ""341"" }]",341,7755
bus,status_7758,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.638Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""152"" }]",152,7758
bus,status_7761,TRUE,2020-04-03T20:47:04.301Z,2020-04-03T20:47:03.420Z,2020-04-03T20:47:04.301Z,"[  { ""S"" : ""305"" }]",305,7761
bus,status_7762,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:32.219Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""340"" }]",340,7762
bus,status_7763,TRUE,2020-04-03T15:20:36.839Z,2020-04-03T15:20:31.578Z,2020-04-03T15:20:36.839Z,"[  { ""S"" : ""151"" }]",151,7763
